Id,N_Victimas,Fecha,Franja_Hora,Tipo_Calle,Calle,Cruce,Comuna,Longitud,Latitud,Participantes,Victima,Acusado,Dataset,semaforo_30m,semaforo_15m
2016-0144,1,2016-11-07,12,AVENIDA,"BROWN, ALTE. AV.",False,4,-58.35975012,-34.63343907,PEATON-PASAJEROS,PEATON,PASAJEROS,homicidio,True,False
2016-0145,1,2016-11-07,20,AVENIDA,DEL LIBERTADOR AV.,True,13,-58.44523595,-34.55953855,MOTO-AUTO,MOTO,AUTO,homicidio,True,True
2016-0146,1,2016-11-09,20,AVENIDA,PICHINCHA AV.,True,4,-58.39626094,-34.63036565,PEATON-PASAJEROS,PEATON,PASAJEROS,homicidio,True,True
2016-0147,1,2016-11-16,21,AVENIDA,INDEPENDENCIA AV.,True,1,-58.38896772,-34.61799615,MOVIL-PASAJEROS,MOVIL,PASAJEROS,homicidio,True,True
2016-0148,1,2016-11-16,22,AVENIDA,GARMENDIA AV.,False,15,-58.46536113,-34.59484504,MOTO-MOTO,MOTO,MOTO,homicidio,False,False
2016-0150,1,2016-11-18,18,AVENIDA,"ALCORTA, AMANCIO AV.",True,4,-58.40879146,-34.65273216,CARGAS-CARGAS,CARGAS,CARGAS,homicidio,False,False
2016-0152,1,2016-11-23,21,AVENIDA,"MORENO, PERITO AV.",True,7,-58.46451841,-34.64991946,MOTO-AUTO,MOTO,AUTO,homicidio,True,True
2016-0153,1,2016-11-25,15,AVENIDA,ARAOZ,True,15,-58.4291709,-34.59485488,PEATON-MOTO,PEATON,MOTO,homicidio,True,True
2016-0154,1,2016-11-26,14,GRAL PAZ,"PAZ, GRAL. AV.",False,8,-58.49007772,-34.68251141,MOTO-MOTO,MOTO,MOTO,homicidio,False,False
2016-0155,1,2016-11-26,16,CALLE,MADERO,False,10,-58.52756365,-34.62772274,PEATON-AUTO,PEATON,AUTO,homicidio,False,False
2016-0156,1,2016-11-26,19,AVENIDA,INDEPENDENCIA AV.,True,3,-58.40638983,-34.61943202,MOTO-PASAJEROS,MOTO,PASAJEROS,homicidio,True,True
2016-0157,1,2016-12-03,6,AVENIDA,"JUSTO, JUAN B. AV.",False,11,-58.47576807,-34.61740997,MOTO-MOTO,MOTO,MOTO,homicidio,False,False
2016-0160,1,2016-12-06,5,AUTOPISTA,AUTOPISTA PERITO MORENO,False,9,-58.51927194,-34.63635787,CARGAS-OBJETO FIJO,CARGAS,OBJETO FIJO,homicidio,False,False
2016-0161,1,2016-12-06,7,AVENIDA,SANTA FE AV.,True,14,-58.42525456,-34.57866344,PEATON-PASAJEROS,PEATON,PASAJEROS,homicidio,True,True
2016-0162,1,2016-12-07,5,AVENIDA,"LACROZE, FEDERICO AV.",True,15,-58.45396573,-34.58518167,PEATON-AUTO,PEATON,AUTO,homicidio,True,True
2016-0163,1,2016-12-10,7,GRAL PAZ,"PAZ, GRAL. AV.",True,11,-58.52340614,-34.59798754,MOTO-AUTO,MOTO,AUTO,homicidio,False,False
2016-0164,1,2016-12-11,6,AVENIDA,LA PLATA AV.,True,4,-58.42323628,-34.64119105,AUTO-AUTO,AUTO,AUTO,homicidio,False,False
2016-0165,1,2016-12-12,8,AVENIDA,"GARCIA, MARTIN AV.",False,4,-58.36926144,-34.62841919,BICICLETA-PASAJEROS,CICLISTA,PASAJEROS,homicidio,True,False
2016-0168,1,2016-12-13,10,AVENIDA,LA PLATA AV.,True,4,-58.42323628,-34.64119105,MOTO-AUTO,MOTO,AUTO,homicidio,False,False
2016-0169,1,2016-12-15,15,AVENIDA,NU?EZ,True,12,-58.47935434,-34.55676497,MOTO-PASAJEROS,MOTO,PASAJEROS,homicidio,True,True
2016-0170,1,2016-12-19,17,GRAL PAZ,"PAZ, GRAL. AV.",False,12,-58.50598256,-34.5637998,MOTO-AUTO,MOTO,AUTO,homicidio,False,False
2016-0171,1,2016-12-25,19,AUTOPISTA,"HUERGO, ING. AV.",True,1,-58.36607137,-34.62150748,MOTO-MOTO,MOTO,MOTO,homicidio,True,True
2016-0172,1,2016-12-26,8,AVENIDA,"GARAY, JUAN DE AV.",True,5,-58.41918902,-34.63174259,MOTO-CARGAS,MOTO,CARGAS,homicidio,True,True
2016-0173,1,2016-12-26,19,AVENIDA,DIRECTORIO AV.,True,7,-58.46749188,-34.63551751,MOTO-CARGAS,MOTO,CARGAS,homicidio,True,True
2016-0175,1,2016-12-27,8,CALLE,"FALCON, RAMON L.,CNEL.",True,7,-58.46064174,-34.62960517,PEATON-BICICLETA,PEATON,CICLISTA,homicidio,True,True
2016-0176,1,2016-12-28,1,AVENIDA,BELGRANO AV.,True,1,-58.36956186,-34.61232875,MOTO-PASAJEROS,MOTO,PASAJEROS,homicidio,True,True
